"Use Case Chính","Actor","Cấp dưới (Sub-UseCase)","Loại Quan Hệ","Mô tả chi tiết"
"Đăng ký tài khoản","Khách (Guest)","Kiểm tra email & mật khẩu","<<include>>","Bắt buộc phải qua bước điền độ mạnh mật khẩu và format email."
"Đăng ký tài khoản","Khách (Guest)","Khởi tạo Profile Mặc định","<<include>>","Tự động gọi lên Firestore để gen tài khoản với role='user'."
"Đăng nhập","Khách (Guest)","Xác thực với Firebase","<<include>>","Hệ thống bắt buộc phải sinh Auth Token hợp lệ mới hoàn thành Login."
"Xem danh sách phòng","Khách (Guest)","Xem ảnh phòng rút gọn","<<include>>","Trên luồng xem danh sách, thẻ bài (card) luôn bắt buộc kèm 1 thumbnail ảnh."
"Tìm kiếm theo tiêu chí","Khách (Guest)","Bộ lọc (Giá, Vị trí, Giới tính)","<<include>>","Buộc phải chọn các tiêu chí để query Database chính xác."
"Tìm kiếm theo tiêu chí","Khách (Guest)","Sắp xếp kết quả (Mới nhất, Giá...)","<<include>>","Sau khi lọc xong, mặc định phải sắp xếp theo logic (vd: Tiêu chuẩn mới nhất)."
"Xem chi tiết phòng","Khách (Guest)","Xem hình ảnh phòng (Carousel)","<<include>>","Click vào Card thì bắt buộc tải toàn bộ danh sách Ảnh phòng dạng Slide."
"Xem chi tiết phòng","Khách (Guest)","Xem thông tin liên lạc","<<include>>","Cung cấp SĐT / Link Zalo để bắt đầu giao dịch."
"Xem chi tiết phòng","Khách (Guest)","Xem đánh giá/Comment phòng","<<extend>>","(Mở rộng) Nếu bài có bình luận / Report thì người dùng có thể xem thêm ở dưới cùng."
"Tạo tin Đăng phòng/Share","Người dùng (User)","Tải ảnh lên hệ thống (AWS S3)","<<include>>","Mọi bài tạo mới đều buộc phải thông qua AWS S3 để lấy URL ảnh."
"Tạo tin Đăng phòng/Share","Người dùng (User)","Chọn Vị trí Map API","<<extend>>","(Mở rộng) Người đăng có thể đính kèm ghim Tọa độ Maps của Google (Nếu có)."
"Quản lý Hồ sơ cá nhân","Người dùng (User)","Cập nhật Sở thích & Lối sống","<<include>>","Luôn luôn phải có form chọn các tags (Cú đêm, Sạch sẽ...)."
"Quản lý Hồ sơ cá nhân","Người dùng (User)","Thay đổi Mật khẩu","<<extend>>","(Mở rộng) Người dùng chỉ đổi/Reset Pass khi có yêu cầu (Bấm Đổi pass)."
"Quản lý Bài đăng của tôi","Người dùng (User)","Ẩn/Hiện bài viết","<<include>>","Tính năng mặc định đi kèm bài viết tại mục 'Tin của tôi' (Toggle)."
"Quản lý Bài đăng của tôi","Người dùng (User)","Xóa bài vĩnh viễn","<<extend>>","(Mở rộng) Thao tác cảnh báo đỏ, yêu cầu Modal Confirm, hiếm khi xảy ra."
"Tham gia Cộng đồng","Người dùng (User)","Thêm Bình luận","<<extend>>","Ngoại lệ mở rộng: Không phải ai cũng bình luận khi lướt Community Feed."
"Tham gia Cộng đồng","Người dùng (User)","Bấm Thích (Like)","<<extend>>","Ngoại lệ mở rộng: Tương tác thả tim, không ép buộc."
"Tham gia Cộng đồng","Người dùng (User)","Viết bài Thảo luận mới","<<extend>>","(Mở rộng) Nếu User ấn vào nút Tạo Topic thì mới trigger chức năng này."
"Lưu tin nhắn / Báo cáo","Người dùng (User)","Thêm bài vào mục Yêu thích","<<extend>>","(Mở rộng) Click save bài vào Library cá nhân nếu muốn."
"Lưu tin nhắn / Báo cáo","Người dùng (User)","Gửi cờ Báo cáo Spam","<<extend>>","(Mở rộng) Chỉ xảy ra nếu User báo Mạo danh / Bài lừa đảo."
"Duyệt Tin Bài (Moderation)","Admin / Mod","Duyệt cho phép Hiển thị","<<include>>","Bấm nút Tick xanh -> Buộc phải cấp status='active' trong DB."
"Duyệt Tin Bài (Moderation)","Admin / Mod","Từ chối bài chờ duyệt","<<extend>>","(Mở rộng) Từ chối, bắt buộc nhập lý do cấm -> status='rejected'."
"Duyệt Tin Bài (Moderation)","Admin / Mod","Xóa Comment bậy bạ (Cộng đồng)","<<extend>>","(Mở rộng) Mod có thể cưỡng chế gỡ Comment rác khi Mod đi tuần tra."
"Xử lý Báo Cáo (Reports)","Admin / Mod","Xem chi tiết Ticket Report","<<include>>","Khi quản lý report, Mod luôn phải đọc nội dung Report mới xử lý được."
"Xử lý Báo Cáo (Reports)","Admin / Mod","Đánh dấu Ticket Giải quyết","<<include>>","Xử phạt xong phải Update trạng thái Ticket thành 'Resolved'."
"Quản lý Người Dùng","Admin / Mod","Thăng cấp phân quyền (Set Role)","<<extend>>","(Mở rộng) Tính năng cấp bậc (Thăng chức User -> Mod) - Chỉ cấp SuperAdmin có quyền làm thực tế."
"Quản lý Người Dùng","Admin / Mod","Khóa/Cấm tài khoản Spam","<<extend>>","(Mở rộng) Chỉ thực hiện Ban khi tài khoản dính Report Scam (Lừa gạt)."
"Quản lý Blog Hệ Thống","Admin / Mod","Viết bài SEO mới","<<include>>","Chức năng cơ bản của CMS Blog."
